multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
3,WU341A,2022-07-17,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,True
5,BX55DOG,2021-01-21,00:00,94.0,60,AV SIEMPRE VIVA,,ERROR,34.0,True
8,BP717,2023-01-11,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,True
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,31.0,True
13,GE1466,2020-08-12,18:01,75.0,40,AV LIBERTADOR,,IMPAGA,35.0,True
17,5777770,2020-01-29,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,True
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,True
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,True
24,XIIUME,2021-06-12,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,True
26,HF58HXP,2022-11-20,14:01,62.0,40,RUTA 9,,APELADA,22.0,True
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,True
35,GE1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,True
36,J1S1,1932-01-01,18:01,85.0,40,AV LIBERTADOR,,APELADA,45.0,True
40,VTIIAHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,True
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,True
44,GCP332,2024-01-26,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,66.0,True
47,W326AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,True
49,810TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,True
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,True
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,True
53,HF58HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,True
55,9999868,2020-02-09,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,True
56,VTIIAHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,True
57,NTHGLFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,True
59,FD1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,True
60,FVIOUHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,True
61,VY90540,2022-11-08,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,True
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,True
64,M431ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,6.0,True
66,NTHGLFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,True
68,HK06YMX,2020-11-11,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,36.0,True
69,VNK296GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,True
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,True
72,HK06YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,True
75,W326AVE,2021-04-21,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,True
77,B81JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,True
79,MVU4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,36.0,True
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,True
82,5777770,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,True
90,MVU4688,2023-09-21,18:04,49.0,40,RUTA 9,,PAGADA,9.0,True
91,INTIGR8,2023-07-09,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,True
92,CD05601,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,True
93,3646HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,True
101,RFH373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,True
102,B81JKY,2023-10-10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,True
103,5777770,2020-05-19,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,True
104,CD05601,1932-01-01,18:04,114.0,60,AV LIBERTADOR,,APELADA,54.0,True
106,WEFLYN,1932-01-01,09:06,77.0,40,RUTA 9,,IMPAGA,37.0,True
109,DI2LOT,2021-08-12,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,True
114,BX55DOG,1932-01-01,18:05,121.0,60,RUTA 9,,ERROR,61.0,True
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,76.0,True
129,T0YDR,2022-09-24,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,43.0,True
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,True
138,831MDB,2021-05-09,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,True
140,MVU4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,True
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,True
144,HF58HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,39.0,True
146,T0YDR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,True
147,WEFLYN,2021-12-13,09:08,129.0,60,AV SIEMPRE VIVA,,ERROR,69.0,True
148,FD1475,2023-10-07,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,True
149,990XYK,2022-11-25,14:05,109.0,80,AV LIBERTADOR,,APELADA,29.0,True
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,True
155,691XC80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,True
161,990XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,True
162,NTHGLFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,True
164,MVU4688,2020-10-07,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,True
165,GE1466,2021-09-25,00:00,108.0,40,AV LIBERTADOR,,APELADA,68.0,True
166,BM351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,32.0,True
170,WEFLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,True
171,CD05601,2023-08-11,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,True
172,810TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,True
176,B81JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,True
178,WU341A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,True
183,UM96201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,True
184,81ZFJD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,31.0,True
188,TL03GOG,2021-08-13,08:08,93.0,40,RUTA 9,,PAGADA,53.0,True
190,VNK296GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,True
191,VY90540,2022-02-05,08:08,98.0,60,RUTA 9,,IMPAGA,38.0,True
192,YLO8WUE,2021-12-18,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,60.0,True
193,3646HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,True
